Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Naive,32,0.207729,0.199147,0.280112
Naive,64,0.205034,0.196243,0.280315
Naive,128,0.204939,0.196198,0.280218
Naive,256,0.205178,0.196606,0.280151
Naive,512,0.205222,0.196589,0.280209
Naive,1024,0.204709,0.196220,0.279592
Transpose,32,0.202033,0.193873,0.271212
Transpose,64,0.188334,0.178990,0.270677
Transpose,128,0.188504,0.179019,0.270940
Transpose,256,0.188492,0.179030,0.271231
Transpose,512,0.188579,0.179085,0.271337
Transpose,1024,0.188651,0.179142,0.271085
Shmem,32,0.195666,0.186772,0.271174
Shmem,64,0.166935,0.154963,0.270810
Shmem,128,0.154321,0.140643,0.271445
Shmem,256,0.154115,0.140325,0.270537
Shmem,512,0.154534,0.140840,0.270879
Shmem,1024,0.155488,0.141755,0.270959
